PV_gen_share	OcM	REM	Storage_hrs	BackupShare	Storage_LCOH	GreenHydrogen_LCOH	Transport_LCHS	Electricity_LCOH	Total_LCOH		
0.5	0.5	2.5	14	0.321697083	0.271469105	5.53222997	0.058369385	3.599918995	9.461987455		
0.35	0.5	2	17	0.431250712	0.330125216	5.290030494	0.054249853	3.788208144	9.462613706		
0.4	0.5	2	18	0.437296116	0.349544346	5.34678696	0.054249853	3.712301678	9.462882838		
0.45	0.5	2.5	14	0.312897584	0.27144254	5.460846868	0.058363673	3.672504409	9.46315749		
0.45	0.5	2	19	0.44340299	0.368963477	5.405372293	0.054249853	3.635147908	9.463733531		
0.5	0.5	2	18	0.45188814	0.349544346	5.488940332	0.054249853	3.571713158	9.46444769		
0.45	0.5	2.5	4	0.326309699	0.077643265	5.578562234	0.058430088	3.751773772	9.466409358		
0.55	0.5	2.5	12	0.333667073	0.232749372	5.633495836	0.058384829	3.543033768	9.467663805		
0.4	0.5	2.5	5	0.316324449	0.097040415	5.496111021	0.05842186	3.816117182	9.467690477		
0.15	0.5	2	4	0.418865699	0.077674434	5.177204027	0.054248396	4.15891023	9.468037087		
0.55	0.5	2	16	0.461662242	0.310706085	5.588467944	0.054249853	3.514678658	9.46810254		
0.4	0.5	2.5	14	0.304343203	0.271435209	5.39372547	0.058362097	3.744935033	9.468457809		
0.25	0.5	2	12	0.423359358	0.23302659	5.217618856	0.054249161	3.96385228	9.468746886		
0.2	0.5	2	8	0.421240091	0.155349929	5.198474627	0.054248766	4.062654574	9.470727895		
0.3	0.5	2	15	0.427314514	0.291286008	5.253690354	0.054249677	3.876721612	9.475947651		
0.6	0.5	2	11	0.475009704	0.213610434	5.730368249	0.054249853	3.479055001	9.477283538		
0.45	0.5	2.5	15	0.312669898	0.29079824	5.458143575	0.05835704	3.670684016	9.47798287		
0.5	0.5	2.5	15	0.321469396	0.290859756	5.530379991	0.058369385	3.598713621	9.478322752		
0.35	0.5	2	18	0.431250712	0.349544346	5.290030494	0.054249853	3.788208144	9.482032837		
0.4	0.5	2	19	0.437296116	0.368963477	5.34678696	0.054249853	3.712301678	9.482301968		
